Product_ID,Campaign_ID,Coupon_Code
4820080,18,51200092776
9526228,13,10000085427
124566,13,10000085427
954778,18,10000085477
6441213,30,58087858076
1134098,13,10000085428
6463530,13,10000085428
13510614,13,10000085428
10320089,18,51800000076
951991,18,10000085478
9857385,13,10000085428
1241669,13,10000085426
887471,20,57940033055
12525256,8,54100027042
15596769,13,10000085428
1359946,8,10000085361
7409621,18,57047095176
8176809,18,10000085478
13115142,18,10000085476
6391414,13,10000085428
1071746,18,10000085478
15686689,18,52120020075
1754260,19,51300010013
1098016,13,10000085429
1842682,14,51111131077
13038501,13,10000085428
2819159,18,10000085475
1126735,27,57940011080
858598,13,10000085428
13189883,20,54589353176
1058987,8,54440020077
5565415,27,51111122081
1121387,18,10000085476
9542312,18,10000085478
10355437,8,10000085361
1062657,18,10000085476
15596096,13,10000085428
985889,18,10000085476
1077656,13,10000085428
918086,18,10000085476
864747,18,10000085479
9552908,18,10000085479
758678,13,10000085427
2562144,13,10000085429
6443310,13,10000085428
874386,18,10000085478
7442739,8,10000085361
1105817,8,10000085363
7166724,13,52580010042
1045535,8,10000085364
869047,13,10000085429
12810389,8,10000085363
2046440,23,52840000082
5589620,13,10000085429
13115639,19,53700048182
973535,8,10000085361
6039773,13,10000085428
10286437,8,10000085361
16059257,13,10000085427
1082028,13,10000085428
918390,30,51140060028
6534871,5,51500050013
920539,13,10000085428
13513344,8,55000013050
1131070,18,10000085478
15596153,18,10000085477
75637,14,54800110055
6001611,24,10000085495
1035326,13,10000085429
75901,28,52740022133
1060083,13,10000085428
2042094,1,52400000031
12582207,8,10000085361
9837565,18,10000085479
5638757,13,10000085425
1134398,8,10000085362
5550783,8,10000085364
1373853,13,10000085429
879516,18,10000085479
7409941,18,10000085477
9885202,13,10000085428
12523563,26,54589314178
970351,8,55000013050
46427,13,10000085426
12810486,8,10000085363
9837436,18,10000085477
875392,8,10000085364
439470,26,51111070142
918994,26,55100000013
5734629,18,51600070033
14050550,8,10000085362
936858,18,10000085479
948861,14,52150000050
1065098,27,51111131082
5592196,13,10000085426
898494,18,10000085479
128728,8,57192117133
977367,18,10000085478
9526442,16,50099700082
9527254,8,55000035078
13212876,26,54650054060
1106331,14,54589399275
963319,18,10000085478
855202,18,53800050033
1119182,24,10000085496
9484051,16,50099700082
6534358,13,10000085429
846947,8,10000085361
1013438,13,10000085426
2440812,8,54100027042
791498,18,10000085475
906625,18,10000085476
2425132,13,10000085426
1043142,18,52120020075
8249063,26,51800000033
5568029,13,10000085425
16805946,18,10000085476
8352995,18,10000085478
9296609,18,10000085478
831545,13,10000085427
98464,18,10000085475
503201,26,51111032250
1776534,8,10000089031
1693497,13,54369530009
1603267,8,10000085363
1822603,18,10000085479
1932302,12,10000089073
1853495,18,10000085479
1089990,20,54589399255
12603795,24,10000085496
968595,13,10000085429
1017772,22,51800000050
974250,13,10000085429
9552940,27,57940011080
843073,18,10000085476
1034745,13,10000085428
1117945,30,55150000034
2093631,20,53620010028
861432,13,10000085428
842312,13,10000085427
9333735,18,10000085479
1084929,16,53600030082
967729,18,51600030101
837887,13,10000085428
12456719,18,51298810078
1003971,30,57067041158
1068343,18,10000089254
1068391,24,10000085495
887299,13,10000085428
1108153,18,10000085478
3387313,18,10000085475
13094928,14,54589399250
12132430,18,53400061150
6391330,13,10000085427
661922,8,53010010033
7135495,24,10000085496
13417843,18,10000085477
1057283,8,54440020055
411360,13,10000085426
1010573,13,10000085429
13513208,13,10000085427
9297001,13,51600050042
1070571,16,52270011076
1646001,13,10000085426
1722254,18,55410000076
1086936,18,10000085478
13040389,18,10000085478
13654888,13,10000085427
829745,18,10000085475
12487704,18,10000085478
823750,18,10000085479
15927254,13,10000085428
5587327,18,10000085479
1040197,3,54100010032
9242079,8,10000085363
15452873,18,10000085477
6961400,8,10000085363
8245430,18,10000085478
323018,30,58304613024
15716427,24,10000085496
192595,13,10000085429
13158498,13,10000085429
948900,18,10000085478
1337581,18,10000085479
1008473,18,10000085478
6703915,18,10000085479
1003440,18,10000085478
12262662,13,10000085429
1060316,18,10000085477
13879509,3,54800110055
1177144,18,10000085478
830157,13,10000085425
9368500,18,10000085478
1405495,1,51111030050
7466912,13,10000085428
2820778,18,10000085479
7166890,13,10000085427
5587556,13,10000085425
6852902,8,10000085361
905353,17,54440020077
3617770,18,10000085475
13210025,13,10000085427
8019845,30,58304613024
12756860,13,10000085428
13008133,30,53800087075
1071922,13,10000085426
7410225,18,10000085478
78280,13,10000085428
62438,26,51111070142
1466554,30,51111019450
9677878,13,10000085427
9879531,18,10000085478
9959585,8,10000089017
863259,8,10000085361
1035097,13,10000085428
882667,22,10000085486
998363,13,10000089081
1050310,30,52920000033
13010206,18,10000085476
930262,18,10000089269
12988282,13,10000085428
